m,m0,m1,null_prop,distribution,L,alpha,n_reps,seed,power_bonf_mean,power_bonf_median,power_bonf_sd,power_bonf_min,power_bonf_max,power_bonf_q25,power_bonf_q75,fdr_bonf_mean,fdr_bonf_median,fdr_bonf_sd,fdr_bonf_max,power_hoch_mean,power_hoch_median,power_hoch_sd,power_hoch_min,power_hoch_max,power_hoch_q25,power_hoch_q75,fdr_hoch_mean,fdr_hoch_median,fdr_hoch_sd,fdr_hoch_max,power_bh_mean,power_bh_median,power_bh_sd,power_bh_min,power_bh_max,power_bh_q25,power_bh_q75,fdr_bh_mean,fdr_bh_median,fdr_bh_sd,fdr_bh_max,power_gain_hoch,power_gain_bh,power_diff_hoch,power_diff_bh,fdr_bh_bound,fdr_bh_controlled
32,8,24,0.250000,I,5,0.050000,2000,123456821,0.669562,0.666667,0.066688,0.458333,0.875000,0.625000,0.708333,0.000494,0.000000,0.005354,0.066667,0.711979,0.708333,0.070241,0.458333,0.916667,0.666667,0.750000,0.001203,0.000000,0.008060,0.066667,0.843250,0.833333,0.058946,0.625000,1.000000,0.791667,0.875000,0.012251,0.000000,0.022996,0.130435,1.063350,1.259404,0.042417,0.173688,0.012500,True
32,16,16,0.500000,D,5,0.050000,2000,123456821,0.346531,0.375000,0.083969,0.125000,0.687500,0.312500,0.375000,0.003141,0.000000,0.022544,0.250000,0.357781,0.375000,0.087133,0.125000,0.687500,0.312500,0.437500,0.003394,0.000000,0.022848,0.250000,0.494437,0.500000,0.108489,0.125000,0.812500,0.437500,0.562500,0.022930,0.000000,0.049026,0.300000,1.032465,1.426819,0.011250,0.147906,0.025000,True
32,16,16,0.500000,E,5,0.050000,2000,123456821,0.496000,0.500000,0.083266,0.250000,0.750000,0.437500,0.562500,0.002277,0.000000,0.016106,0.142857,0.512531,0.500000,0.085634,0.250000,0.812500,0.437500,0.562500,0.002764,0.000000,0.017247,0.142857,0.647094,0.625000,0.091334,0.375000,0.937500,0.562500,0.687500,0.023706,0.000000,0.043513,0.230769,1.033329,1.304624,0.016531,0.151094,0.025000,True
32,16,16,0.500000,I,5,0.050000,2000,123456821,0.640000,0.625000,0.082736,0.375000,0.875000,0.562500,0.687500,0.001805,0.000000,0.012767,0.125000,0.661312,0.687500,0.083419,0.437500,0.875000,0.625000,0.687500,0.002265,0.000000,0.014060,0.153846,0.787469,0.812500,0.076778,0.500000,1.000000,0.750000,0.812500,0.023853,0.000000,0.040219,0.222222,1.033301,1.230420,0.021312,0.147469,0.025000,True
32,24,8,0.750000,D,5,0.050000,2000,123456821,0.378500,0.375000,0.117607,0.125000,0.750000,0.250000,0.500000,0.008546,0.000000,0.047546,0.500000,0.383625,0.375000,0.118930,0.125000,0.750000,0.250000,0.500000,0.008605,0.000000,0.046976,0.500000,0.472375,0.500000,0.136597,0.125000,0.875000,0.375000,0.625000,0.033266,0.000000,0.081797,0.500000,1.013540,1.248018,0.005125,0.093875,0.037500,True
32,24,8,0.750000,E,5,0.050000,2000,123456821,0.496688,0.500000,0.120468,0.125000,0.875000,0.375000,0.625000,0.007041,0.000000,0.038859,0.333333,0.503563,0.500000,0.121172,0.125000,0.875000,0.375000,0.625000,0.007333,0.000000,0.039294,0.333333,0.602313,0.625000,0.130717,0.125000,1.000000,0.500000,0.750000,0.033804,0.000000,0.074698,0.428571,1.013842,1.212659,0.006875,0.105625,0.037500,True
32,24,8,0.750000,I,5,0.050000,2000,123456821,0.614812,0.625000,0.120536,0.125000,1.000000,0.500000,0.750000,0.005857,0.000000,0.031951,0.285714,0.624812,0.625000,0.122251,0.125000,1.000000,0.500000,0.750000,0.006223,0.000000,0.032901,0.333333,0.727187,0.750000,0.123377,0.250000,1.000000,0.625000,0.875000,0.033480,0.000000,0.068542,0.428571,1.016265,1.182779,0.010000,0.112375,0.037500,True
64,0,64,0.000000,D,5,0.050000,2000,123456853,0.284961,0.281250,0.039597,0.156250,0.437500,0.265625,0.312500,0.000000,0.000000,0.000000,0.000000,0.303680,0.296875,0.044127,0.156250,0.500000,0.281250,0.328125,0.000000,0.000000,0.000000,0.000000,0.536188,0.531250,0.057414,0.328125,0.750000,0.500000,0.578125,0.000000,0.000000,0.000000,0.000000,1.065689,1.881618,0.018719,0.251227,0.000000,True
64,0,64,0.000000,E,5,0.050000,2000,123456853,0.453445,0.453125,0.043347,0.328125,0.593750,0.421875,0.484375,0.000000,0.000000,0.000000,0.000000,0.490742,0.484375,0.047927,0.343750,0.656250,0.453125,0.515625,0.000000,0.000000,0.000000,0.000000,0.700742,0.703125,0.047091,0.531250,0.843750,0.671875,0.734375,0.000000,0.000000,0.000000,0.000000,1.082252,1.545373,0.037297,0.247297,0.000000,True
64,0,64,0.000000,I,5,0.050000,2000,123456853,0.620812,0.625000,0.044211,0.484375,0.765625,0.593750,0.656250,0.000000,0.000000,0.000000,0.000000,0.688055,0.687500,0.051066,0.531250,0.890625,0.656250,0.718750,0.000000,0.000000,0.000000,0.000000,0.849039,0.843750,0.036467,0.687500,0.953125,0.828125,0.875000,0.000000,0.000000,0.000000,0.000000,1.108313,1.367626,0.067242,0.228227,0.000000,True
